"Date","Model","Launched","Destroyed"
2022-09-28,"Reconnaissance UAV ",3,3
2022-09-28,"X-59 ",5,4
2022-09-29,"Shahed-136/131 ",7,5
2022-09-30,"Orlan-10 ",3,3
2022-10-01,"Orlan-10 ",1,1
2022-10-02,"Shahed-136/131 ",7,5
2022-10-05,"Orlan-10 ",1,1
2022-10-05,"Shahed-136/131 ",7,7
2022-10-06,"Mohajer-6 ",2,2
2022-10-06,"Orlan-10 ",1,1
2022-10-06,"Shahed-136/131 ",14,14
2022-10-07,"Shahed-136/131 ",3,3
2022-10-08,"Shahed-136/131 ",1,1
2022-10-08,"Unknown UAV ",2,2
2022-10-09,"C-300 ",16,0
2022-10-09,"X-22 ",4,0
2022-10-09,"X-59 ",2,1
2022-10-10,"Shahed-136/131 ",13,10
2022-10-10,"Unknown UAV ",11,3
2022-10-10,"X-101/X-555 and Kalibr ",84,43
2022-10-11,"Shahed-136/131 ",34,34
2022-10-11,"X-101/X-555 and Kalibr ",28,20
2022-10-12,"Lancet ",2,2
2022-10-12,"Shahed-136/131 ",17,17
2022-10-13,"Kalibr ",5,5
2022-10-13,"Shahed-136/131 ",6,6
2022-10-14,"Shahed-136/131 ",8,8
2022-10-15,"Shahed-136/131 ",6,6
2022-10-16,"Shahed-136/131 ",11,11
2022-10-17,"Kalibr ",2,2
2022-10-17,"Shahed-136/131 ",34,34
2022-10-17,"Unknown Missile ",3,3
2022-10-18,"Kalibr ",4,4
2022-10-18,"Shahed-136/131 ",6,6
2022-10-18,"X-101/X-555 ",1,1
2022-10-19,"Shahed-136/131 ",23,23
2022-10-19,"X-101/X-555 ",6,4
2022-10-20,"Shahed-136/131 ",14,14
2022-10-22,"Kalibr ",16,5
2022-10-22,"Shahed-136/131 ",10,10
2022-10-22,"X-101/X-555 ",17,13
2022-10-23,"Shahed-136/131 ",16,16
2022-10-25,"Shahed-136/131 ",3,3
2022-10-26,"Shahed-136/131 ",20,19
2022-10-26,"X-59 ",1,1
2022-10-31,"X-101/X-555 ",50,44
2022-11-01,"Reconnaissance UAV ",1,1
2022-11-01,"Shahed-136/131 ",6,6
2022-11-02,"Shahed-136/131 ",13,12
2022-11-04,"Kalibr ",2,2
2022-11-04,"Reconnaissance UAV ",3,3
2022-11-04,"Shahed-136/131 ",20,20
2022-11-09,"Orlan-10 ",1,1
2022-11-09,"Shahed-136/131 ",5,5
2022-11-14,"Unknown UAV ",2,2
2022-11-15,"Orion ",1,1
2022-11-15,"Orlan-10 ",1,1
2022-11-15,"Shahed-136/131 ",10,10
2022-11-15,"X-101/X-555 and Kalibr ",96,75
2022-11-15,"X-59 ",2,2
2022-11-17,"Shahed-136/131 ",5,5
2022-11-17,"X-101/X-555 ",18,4
2022-11-17,"X-59 ",2,2
2022-11-23,"Lancet ",5,5
2022-11-23,"X-101/X-555 and Kalibr ",70,51
2022-12-05,"Kalibr ",22,22
2022-12-05,"X-101/X-555 ",38,38
2022-12-05,"X-22 ",3,0
2022-12-05,"X-31P ",1,0
2022-12-05,"X-59 ",6,0
2022-12-07,"Orlan-10 ",1,1
2022-12-07,"Shahed-136/131 ",11,11
2022-12-07,"Unknown UAV ",2,2
2022-12-10,"Shahed-136/131 ",15,10
2022-12-14,"Shahed-136/131 ",13,13
2022-12-16,"C-300 ",27,0
2022-12-16,"X-101/X-555 and X-22 and Kalibr ",72,60
2022-12-16,"X-31P ",2,0
2022-12-16,"X-59 ",2,0
2022-12-19,"Shahed-136/131 ",35,30
2022-12-20,"Orion ",1,1
2022-12-20,"Unknown UAV ",1,1
2022-12-22,"X-59MK2 ",1,1
2022-12-29,"Orlan-10 ",4,4
2022-12-29,"X-101/X-555 and Kalibr ",62,58
2022-12-29,"X-22 and X-32 ",6,0
2022-12-29,"X-31P ",2,0
2022-12-30,"Shahed-136/131 ",16,16
2022-12-31,"Orlan-10 ",1,1
2022-12-31,"Unknown Missile ",20,12
2023-01-01,"Shahed-136/131 ",45,45
2023-01-02,"Orlan-10 ",1,1
2023-01-02,"Shahed-136/131 ",39,39
2023-01-02,"X-59 ",1,1
2023-01-11,"Orlan-10 ",2,2
2023-01-11,"Unknown UAV ",1,1
2023-01-12,"Orlan-10 ",1,1
2023-01-14,"Kalibr ",7,4
2023-01-14,"X-101/X-555 ",16,14
2023-01-14,"X-22 ",5,0
2023-01-14,"X-59 ",10,7
2023-01-20,"Merlin-VR ",1,1
2023-01-20,"Orlan-10 ",1,1
2023-01-23,"Orlan-10 ",1,1
2023-01-23,"X-59 ",2,2
2023-01-25,"Orlan-10 ",1,1
2023-01-26,"Kalibr ",9,7
2023-01-26,"Shahed-136/131 ",24,24
2023-01-26,"X-101/X-555 ",40,40
2023-01-26,"X-47 Kinzhal ",2,0
2023-01-26,"X-59 ",4,0
2023-02-09,"Orion ",1,1
2023-02-10,"C-300 ",35,0
2023-02-10,"Kalibr ",28,23
2023-02-10,"Shahed-136/131 ",27,25
2023-02-10,"X-101/X-555 ",43,38
2023-02-11,"Orlan-10 ",1,1
2023-02-11,"Shahed-136/131 ",4,4
2023-02-15,"Unknown UAV ",1,1
2023-02-16,"Kalibr ",8,4
2023-02-16,"P-800 Oniks ",1,0
2023-02-16,"X-101/X-555 ",12,10
2023-02-16,"X-22 ",12,0
2023-02-16,"X-31 ",1,1
2023-02-16,"X-59 ",1,1
2023-02-18,"Kalibr ",4,2
2023-02-27,"Shahed-136/131 ",14,11
2023-03-01,"Shahed-136/131 ",4,4
2023-03-06,"Shahed-136/131 ",15,13
2023-03-08,"Shahed-136/131 ",2,2
2023-03-09,"C-300 ",13,0
2023-03-09,"Kalibr ",20,14
2023-03-09,"Shahed-136/131 ",8,4
2023-03-09,"X-101/X-555 ",28,20
2023-03-09,"X-22 ",6,0
2023-03-09,"X-31P ",2,0
2023-03-09,"X-47 Kinzhal ",6,0
2023-03-09,"X-59 ",6,0
2023-03-14,"X-31P ",4,0
2023-03-18,"Shahed-136/131 ",16,11
2023-03-21,"X-59 ",2,2
2023-03-22,"Shahed-136/131 ",21,16
2023-03-23,"X-59 ",2,2
2023-03-27,"Granat-4 ",1,1
2023-03-27,"KAB ",2,0
2023-03-27,"Shahed-136/131 ",13,12
2023-03-31,"Shahed-136/131 ",10,9
2023-04-04,"Shahed-136/131 ",17,14
2023-04-08,"Supercam ",1,1
2023-04-10,"Merlin-VR ",1,1
2023-04-10,"Orlan-10 ",1,1
2023-04-18,"Orlan-10 ",1,1
2023-04-18,"Shahed-136/131 ",8,6
2023-04-19,"Shahed-136/131 ",12,10
2023-04-20,"Shahed-136/131 ",11,10
2023-04-21,"Shahed-136/131 ",17,12
2023-04-23,"Lancet ",4,4
2023-04-23,"Merlin-VR ",1,1
2023-04-24,"Lancet ",2,2
2023-04-24,"Shahed-136/131 ",6,6
2023-04-24,"Unknown UAV ",1,1
2023-04-26,"Lancet ",5,5
2023-04-26,"Merlin-VR ",1,1
2023-04-28,"Unknown UAV ",2,2
2023-04-28,"X-101/X-555 ",23,21
2023-04-29,"Shahed-136/131 ",2,2
2023-04-29,"Unknown UAV ",1,1
2023-05-01,"X-101/X-555 ",18,15
2023-05-03,"Lancet ",2,2
2023-05-03,"Merlin-VR ",1,1
2023-05-03,"Shahed-136/131 ",26,21
2023-05-03,"Unknown UAV ",1,1
2023-05-04,"Shahed-136/131 ",24,18
2023-05-04,"Unknown UAV ",1,1
2023-05-04,"X-47 Kinzhal ",1,1
2023-05-05,"Shahed-136/131 ",2,2
2023-05-06,"Lancet ",1,1
2023-05-06,"Shahed-136/131 ",8,8
2023-05-06,"Unknown UAV ",4,4
2023-05-08,"Kalibr ",8,8
2023-05-08,"Lancet ",2,2
2023-05-08,"Shahed-136/131 ",35,35
2023-05-08,"Unknown Missile ",8,0
2023-05-08,"ZALA ",1,1
2023-05-09,"Shahed-136/131 ",3,3
2023-05-09,"X-101/X-555 ",17,15
2023-05-12,"Lancet ",4,4
2023-05-13,"Orlan-10 ",1,1
2023-05-13,"Shahed-136/131 ",21,17
2023-05-14,"Lancet ",1,1
2023-05-14,"Orlan-10 ",5,5
2023-05-14,"Shahed-136/131 ",22,22
2023-05-14,"Unknown UAV ",4,4
2023-05-14,"X-101/X-555 ",3,3
2023-05-14,"ZALA ",1,1
2023-05-15,"Lancet ",2,2
2023-05-15,"Orlan-10 ",1,1
2023-05-15,"Supercam ",1,1
2023-05-16,"C-400 and Iskander-M ",10,10
2023-05-16,"Kalibr ",9,9
2023-05-16,"Orlan-10 ",2,2
2023-05-16,"Shahed-136/131 ",6,6
2023-05-16,"Supercam ",2,2
2023-05-16,"Unknown UAV ",1,1
2023-05-16,"X-47 Kinzhal ",6,6
2023-05-18,"Iskander-K ",2,2
2023-05-18,"Kalibr ",6,6
2023-05-18,"Shahed-136/131 ",2,2
2023-05-18,"Unknown UAV ",2,2
2023-05-18,"X-101/X-555 ",22,21
2023-05-19,"Kalibr ",6,3
2023-05-19,"Merlin-VR ",1,1
2023-05-19,"Shahed-136/131 ",24,18
2023-05-20,"Merlin-VR ",1,1
2023-05-20,"Orlan-10 ",1,1
2023-05-20,"Shahed-136/131 ",25,25
2023-05-21,"Merlin-VR ",1,1
2023-05-21,"Orlan-10 ",1,1
2023-05-21,"ZALA ",1,1
2023-05-22,"C-300 ",5,0
2023-05-22,"Iskander-M ",2,0
2023-05-22,"Merlin-VR ",2,2
2023-05-22,"Shahed-136/131 ",20,20
2023-05-22,"X-101/X-555 ",4,4
2023-05-22,"X-22 ",5,0
2023-05-23,"Shahed-136/131 ",6,6
